Ingredient,Flavors
Turmeric,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Green Beans,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Chive,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Endive,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Leek,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Lettuce,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Okra,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Onion,"['woody', 'green', 'herbal', 'medicine', 'sweet', 'dry', 'thyme']"
Shallot,"['woody', 'green', 'herbal', 'medicine', 'dry', 'sweet', 'thyme']"
Peppermint,"['woody', 'green', 'herbal', 'medicine', 'dry', 'sweet', 'thyme']"
Broccoli,"['woody', 'green', 'herbal', 'medicine', 'dry', 'sweet', 'thyme']"
Brussels Sprout,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Cabbage,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Cauliflower,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Horseradish,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Mustard,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Radish,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Turnip,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Kohlrabi,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Rutabaga,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Wasabi,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Capsicum,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Cherry Pepper,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Tomato,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Chayote,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Cucumber,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Beetroot,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Carrot,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Parsnip,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Sweet Potato,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Asparagus,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Cassava,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Potato,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Fried Potato,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Allspice,"['woody', 'herbal', 'green', 'medicine', 'dry', 'thyme', 'wood']"
Asafoetida,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Ashgourd,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Bittergourd,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Bottlegourd,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Canola Oil,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Carom Seed,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Chard,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Apple Cider Vinegar,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Colocasia,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Curry Leaf,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Drumstick Leaf,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Eggplant,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Flaxseed,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Jalapeno,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Kenaf,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Lotus,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Nigella Seed,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Kewda,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Pomegranate,"['woody', 'herbal', 'medicine', 'green', 'dry', 'thyme', 'wood']"
Poppy Seed,"['woody', 'herbal', 'medicine', 'dry', 'green', 'thyme', 'wood']"
Spinach,"['woody', 'herbal', 'medicine', 'dry', 'green', 'thyme', 'wood']"
Turkey Berry,"['woody', 'herbal', 'medicine', 'dry', 'green', 'thyme', 'wood']"
Water Chestnut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
White Pepper,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Garcinia Indica,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cluster Bean,"['woody', 'herbal', 'medicine', 'dry', 'green', 'thyme', 'wood']"
Paneer,"['woody', 'herbal', 'medicine', 'dry', 'green', 'thyme', 'wood']"
Pigeon Pea,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Basmati Rice,"['woody', 'herbal', 'medicine', 'dry', 'green', 'thyme', 'wood']"
Ricotta Cheese,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Silver linden,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
redskin onion,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Lemon verbena,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cashew nut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Burdock,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Borage,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Capers,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Safflower,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Chestnut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Chickpea,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pummelo,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Arabica coffee,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Japanese persimmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Black crowberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rocket salad,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Tartary buckwheat,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Black huckleberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sunflower,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Swamp cabbage,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Grass pea,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Lentils,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Garden cress,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Mexican oregano,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Lupine,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Medlar,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Mulberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Black mulberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Evening primrose,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Millet,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Scarlet bean,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pistachio,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Purslane,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Red raspberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Black raspberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sorrel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Summer savory,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Winter savory,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cherry tomato,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rowanberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sorghum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Dandelion,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Linden,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Small leaf linden,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Wheat,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sparkleberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Common verbena,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Adzuki bean,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Gram bean,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Mung bean,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Climbing bean,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Muscadine grape,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Bayberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Elliott's blueberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Canada blueberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Buffalo currant,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Deerberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Ginseng,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Longan,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pepper C. baccatum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pepper C. chinense,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rambutan,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Red rice,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Annual wild rice,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Welsh onion,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Hard wheat,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Triticale,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Komatsuna,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pak choy,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Jostaberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Kai lan,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pineappple sage,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Skunk currant,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Breakfast cereal,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pasta,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Biscuit,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sourdough,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spirit,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Beverage alcolohic other,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Abalone,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Abiyuch,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Acerola,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Acorn,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Winter squash,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Agar,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Red king crab,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Alfalfa,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Amaranth,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Arrowhead,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Arrowroot,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Atlantic herring,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Atlantic mackerel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Painted comber,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Atlantic pollock,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Atlantic wolffish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Bamboo shoots,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Striped bass,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Beaver,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Beech nut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Beluga whale,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Bison,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Black bear,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Alaska blackfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Northern bluefin tuna,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Bluefish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Wild boar,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Bowhead whale,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Breadfruit,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Breadnut tree seed,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rapini,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Brown bear,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Buffalo,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Burbot,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Giant butterbur,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
American butterfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Butternut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Butternut squash,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cardoon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Caribou,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Natal plum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Carob,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Common carp,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Channel catfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Chia,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Chinese chestnut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Garland chrysanthemum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cisco,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Nuttall cockle,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Common octopus,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Corn salad,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cottonseed,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Catjang pea,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Squashberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Atlantic croaker,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cusk,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cuttlefish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Mule deer,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Devilfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Dock,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Dolphin fish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Freshwater drum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Mallard duck,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Freshwater eel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Elk,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Emu,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Oregon yampah,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
European anchovy,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
European chestnut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Turbot,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Fireweed,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Florida pompano,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Ginkgo nuts,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Greylag goose,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Greenland halibut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Groundcherry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Grouper,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Haddock,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Hippoglossus,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Horse,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Hyacinth bean,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Irish moss,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pacific jack mackerel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Japanese chestnut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Jerusalem artichoke,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Jujube,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Jute,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Kale,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
King mackerel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Lambsquarters,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Leather chiton,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Common ling,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Lingcod,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
White lupine,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Malabar spinach,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Mammee apple,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Purple mangosteen,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Alpine sweetvetch,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Milkfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Monkfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Moose,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Moth bean,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Mountain yam,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Striped mullet,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Muskrat,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
New Zealand spinach,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Nopal,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Ocean pout,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
North Pacific giant octopus,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Ohelo berry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Opossum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Ostrich,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spotted seal,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pacific herring,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pacific rockfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Common persimmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pheasant,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Northern pike,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pili nut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Colorado pinyon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pitanga,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
French plantain,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
American pokeweed,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Polar bear,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Prairie turnip,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Quinoa,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
European rabbit,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Raccoon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rainbow smelt,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rainbow trout,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Malabar plum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rose hip,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Roselle,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Orange roughy,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sablefish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pink salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Chum salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Coho salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sockeye salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Chinook salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Atlantic salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Salmonberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Common salsify,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spanish mackerel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pacific sardine,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Scup,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sea cucumber,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Steller sea lion,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Bearded seal,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Ringed seal,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sea trout,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sesbania flower,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
American shad,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Shark,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sheefish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sheepshead,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Hedge mustard,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Snapper,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spelt,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spirulina,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Squab,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Squirrel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Greater sturgeon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
