Ingredient,Flavors
Hops Oil,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Hyacinth,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Hyssop Oil,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Lemon Grass,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Lemon Peel Oil,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Lime Peel Oil,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Lovage,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Mandarin Orange Peel Oil,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Mastic Gum,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Mentha Oil,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Myrrh,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Neroli Oil,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'pear', 'seaweed']"
Orange Oil,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'pear', 'seaweed']"
Orris,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'pear', 'seaweed']"
Clary Sage,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Red Sage,"['green', 'fatty', 'sweet', 'cucumber', 'melon', 'pear', 'seaweed']"
Spanish Sage,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'pear', 'seaweed']"
Sandalwood,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'pear', 'seaweed']"
Sea Buckthorns,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'pear']"
Sweet Grass,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'pear']"
Valerian,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'pear']"
Wattle,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'pear']"
Yarrow,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'pear']"
Ylang-Ylang,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'pear']"
Clam,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'pear']"
Crab,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'pear']"
Crayfish,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'pear']"
Kelp,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Krill,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Lobster,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Mollusc,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Oyster,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Prawn,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Scallop,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Shellfish,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Shrimp,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Trassi,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Squid,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Bonito,"['green', 'sweet', 'fatty', 'woody', 'cucumber', 'melon', 'herbal']"
Caviar,"['green', 'sweet', 'fatty', 'cucumber', 'melon', 'woody', 'fat']"
