Variety,Palette
Muscat of Alexandria,"['Mandarin Orange', ' Honey', ' Lychee', ' Peach Skin', ' White Flowers']"
Müller-Thurgau,"['Peach', 'Rose Petal', 'Lemon', 'Lime', 'Flint']"
Nebbiolo,"['Cherry', ' Rose', ' Leather', ' Anise', ' Clay Pot']"
Negroamaro,"['Black Cherry', ' Black Plum', ' Blackberry', ' Prune', ' Dried Thyme']"
Nerello Mascalese,"['Dried Cherry', 'Orange Zest', 'Dried Thyme', 'Allspice', 'Crushed Gravel']"
Nero d’Avola,"['Black Cherry', ' Black Plum', ' Licorice', ' Tobacco', ' Chili Pepper']"
Norton,"['Black Currant', ' Black Cherry', ' Dill', ' Black Pepper', ' Chocolate']"
Palomino Fino,"['Lemon', ' Jackfruit', ' Almond', ' Saline', ' Mushroom']"
País,"['Cherry', 'Grape', 'Anise', 'Cured Meat', 'Sage']"
Pedro Ximénez,"['Toffee', ' Figs', ' Walnut', ' Lemon', ' Coffee']"
Petit Verdot,"['Black Cherry', ' Plum', ' Violet', ' Lilac', ' Sage']"
Petite Sirah,"['Sugarplum', ' Blueberry', ' Dark Chocolate', ' Black Pepper', ' Black Tea']"
Picpoul,"['Green Apple', 'Citrus Blossom', 'Lemon', 'Thyme', 'Saline']"
Pinot Blanc,"['Pear', ' Peach', ' Raw Almond', ' Lemon Zest', ' Crushed Gravel']"
Pinot Gris,"['White Peach', 'Lemon Zest', 'Cantaloupe', 'Green Almond', 'Crushed Gravel']"
Pinot Meunier,"['Tart Cherry', ' Pomegranate', ' Potting Soil', ' Mushroom', ' Rose']"
Pinot Noir,"['Raspberry', 'Cherry', 'Mushroom', 'Vanilla', 'Hibiscus']"
Pinotage,"['Black Cherry', 'Blackberry', 'Fig', 'Mint', 'Game']"
Refosco,"['Dried Herbs', ' Dried Cherry', ' Espresso', ' Anise', ' Smoke']"
Ribolla Gialla,"['Baked Apple', 'Tangerine', 'Citrus', 'Beeswax', 'Thyme']"
Riesling,"['Lime', ' Green Apple', ' Beeswax', ' Jasmine', ' Petroleum']"
Rkatsiteli,"['Pineapple', 'Lime', 'Resin', 'Tarragon', 'Fennel']"
Roussanne,"['Meyer Lemon', ' Apricot', ' Beeswax', ' Chamomile', ' Brioche']"
Sagrantino,"['Plum Sauce', 'Licorice', 'Black Tea', 'Black Olive', 'Black Pepper']"
Sangiovese,"['Cherry', ' Roasted Tomato', ' Sweet Balsamic', ' Oregano', ' Espresso']"
Sauvignon Blanc,"['Gooseberry', ' Honeydew', ' Grapefruit', ' White Peach', ' Passion Fruit']"
Savatiano,"['Green Apple', ' Honeydew', ' Lime Zest', ' Lemon Curd', ' Resin']"
Schiava,"['Strawberry', 'Raspberry', 'Rose Candy', 'Lemon', 'Smoke']"
Silvaner (Sylvaner),"['Peach', 'Passion Fruit', 'Orange Blossom', 'Thyme', 'Flint']"
St. Laurent,"['Raspberry', ' Blackberry', ' Sweet Tobacco', ' Baking Spices', ' Chocolate']"
Syrah,"['Blueberry', ' Black Plum', ' Milk Chocolate', ' Tobacco', ' Green Peppercorn']"
Sémillon,"['Lemon', 'Beeswax', 'Peach', 'Chamomile', 'Saline']"
Tannat,"['Black Currant', 'Plum', 'Licorice', 'Smoke', 'Cardamom']"
Tempranillo,"['Cherry', ' Dried Fig', ' Cedar', ' Tobacco', ' Dill']"
Torrontés,"['Meyer Lemon', 'Peach', 'Rose Petal', 'Geranium', 'Citrus Zest']"
Touriga Franca,"['Blackberry Sauce', ' Pomegranate', ' Graphite', ' Rose Petal', ' Pink Peppercorn']"
Touriga Nacional,"['Blueberry', 'Violet', 'Plum', 'Mint', 'Wet Slate']"
Trebbiano Toscano,"['White Peach', ' Lemon', ' Green Apple', ' Seashell', ' Basil']"
Verdejo,"['Lime', ' Honeydew', ' Grapefruit Pith', ' Fennel', ' White Peach']"
Verdelho,"['Gooseberry', 'Pineapple', 'Ginger', 'Honeydew', 'Brazil Nut']"
Verdicchio,"['Peach', ' Lemon Curd', ' Almond Skin', ' Oily', ' Saline']"
Vermentino,"['Lime', ' Grapefruit', ' Green Apple', ' Almond', ' Daffodil']"
Vernaccia di San Gimignano,"['Yellow Apple', ' Underripe Pear', ' Lemon', ' Almond', ' Saline']"
Vidal,"['White Currant', ' Pineapple', ' Honeydew', ' Lychee', ' Honeysuckle']"
Viognier,"['Tangerine', 'Peach', 'Mango', 'Honeysuckle', 'Rose']"
Viura,"['Honeydew', ' Lime Peel', ' Lemon Verbana', ' Tarragon', ' Hazelnut']"
Xarel-lo,"['Lemon', 'Peach', 'Lime Blossom', 'Ginger', 'Raw Almond']"
Xinomavro,"['Raspberry', 'Plum Sauce', 'Anise', 'Allspice', 'Tobacco']"
Zinfandel (Primitivo),"['Blackberry', ' Strawberry', ' Peach Preserves', ' Cinnamon', ' Sweet Tobacco']"
Zweigelt,"['Red Cherry', ' Raspberry', ' Black Pepper', ' Licorice', ' Chocolate']"
